News Outlet,Date,Tweet,Compound,Positive Score,Negative Score,Neutral Score,Tweets Ago
@BBCNews,Mon Oct 01 21:28:44 +0000 2018,"Tuesday's Express: ""Taxes will be cut in no-deal #Brexit"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/LiWpy1ffAF",-0.2732,0.0,0.139,0.861,15
@BBCNews,Mon Oct 01 21:28:40 +0000 2018,"Tuesday's Star: ""TV Guru: Put fat kids in care"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/miOuJPGasu",0.4939,0.198,0.0,0.802,16
@BBCNews,Mon Oct 01 21:28:32 +0000 2018,"Tuesday's i: ""Moment of truth for Boris"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/2eJ0zYPW1L",0.3182,0.173,0.0,0.827,17
@BBCNews,Mon Oct 01 21:28:26 +0000 2018,"Tuesday's Guardian: ""Tories urged to get behind May as party rivals go on offensive"" (via @AllieHBNews) #bbcpapers… https://t.co/UqTBDWE2Vc",-0.0772,0.124,0.138,0.737,18
@BBCNews,Mon Oct 01 21:08:50 +0000 2018,"Tuesday's Metro: ""One click compo for rail delays"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/XS3te5Qmkl",0.0,0.0,0.0,1.0,19
@BBCNews,Mon Oct 01 21:08:44 +0000 2018,"Tuesday's Telegraph: ""Cancers must be diagnosed in 3 weeks"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/MBMzxvBb9m",0.0,0.0,0.0,1.0,20
@BBCNews,Tue Oct 02 02:53:05 +0000 2018,Indonesian quake: Bodies found in church buried by landslide https://t.co/KvjQdlznfb,0.0,0.0,0.0,1.0,21
@BBCNews,Tue Oct 02 02:42:26 +0000 2018,Conservative conference: Middle-class drug users to be targeted - Sajid Javid https://t.co/h0PYhHzGU1,0.0,0.0,0.0,1.0,22
@BBCNews,Tue Oct 02 02:15:46 +0000 2018,Conor McGregor v Khabib Nurmagomedov: Irishman vows to end UFC 229 by 'devastating knockout' https://t.co/KOyj3u6Y6f,-0.6486,0.0,0.249,0.751,23
@BBCNews,Tue Oct 02 02:08:01 +0000 2018,"Low-skill migration to fall after Brexit, promises May https://t.co/xWc7v0b1LY",0.3818,0.245,0.0,0.755,24
@BBCNews,Tue Oct 02 01:09:40 +0000 2018,Tania Buguera explains Tate Modern's new Turbine Hall installation https://t.co/wvPcvksXKz,0.0,0.0,0.0,1.0,25
@BBCNews,Tue Oct 02 00:51:19 +0000 2018,Mexico students v the state: Anniversary of 1968 massacre reopens recent wounds https://t.co/2Z7GCJY1Cg,0.0,0.0,0.0,1.0,26
@BBCNews,Tue Oct 02 00:43:24 +0000 2018,How commonly do drinkers suffer blackouts? https://t.co/ARKiYaha9j,-0.5423,0.0,0.368,0.632,27
@BBCNews,Tue Oct 02 00:35:09 +0000 2018,Should universities tell students how to take drugs safely? https://t.co/UwXgITnHCi,0.4939,0.262,0.0,0.738,28
@BBCNews,Tue Oct 02 00:20:38 +0000 2018,The neighbours building hope after losing children to suicide https://t.co/ptIV6kLI6b,-0.6369,0.171,0.418,0.412,29
@BBCNews,Tue Oct 02 00:12:38 +0000 2018,Trump: FBI can question 'anybody' about Kavanaugh https://t.co/3JOOyZlrrP,0.0,0.0,0.0,1.0,30
@BBCNews,Tue Oct 02 00:04:40 +0000 2018,Ashley sacks entire House of Fraser management team https://t.co/blBPlJHYKv,0.0,0.0,0.0,1.0,31
@BBCNews,Mon Oct 01 22:51:56 +0000 2018,"Newspaper headlines: Brexit, Boris, and a field of wheat https://t.co/sthm1TNnBd",0.0,0.0,0.0,1.0,32
@BBCNews,Mon Oct 01 22:43:47 +0000 2018,Ryder Cup 2018: Spectator 'loses sight' after being hit by Brooks Koepka tee shot https://t.co/9UDaqAV92d,-0.3182,0.0,0.141,0.859,33
@BBCNews,Mon Oct 01 21:32:21 +0000 2018,"Tuesday's Times: ""May agrees curbs on trade to break #Brexit deadlock"" (via @AllieHBNews)  #bbcpapers… https://t.co/P0AeBcuHPH",-0.1531,0.105,0.14,0.756,34
